Frame,Score
1000000,5.13143999999997
1250000,5.00271999999998
1500000,5.6779999999999635
1750000,5.821679999999971
2000000,5.812639999999958
2250000,6.011919999999973
2500000,6.15631999999997
2750000,6.158879999999952
3000000,6.123119999999954
3250000,5.676879999999967
3500000,6.138639999999956
3750000,6.143359999999955
4000000,6.189999999999956
4250000,6.267599999999954
4500000,6.303439999999952
4750000,6.15959999999996
5000000,6.263999999999961
5250000,6.218879999999956
5500000,6.226079999999953
5750000,6.308719999999965
6000000,6.319039999999957
6250000,6.331679999999957
6500000,6.333519999999961
6750000,6.311919999999956
7000000,6.15103999999996
7250000,6.267359999999958
7500000,6.320799999999954
